Seed;Tesla;Musk;Gigafactory;Elon Mask;
https://en.wikipedia.org/wiki/Tesla_Inc;821;169;30;0;1020;
https://en.wikipedia.org/wiki/Tesla_Model_S;651;33;2;0;686;
https://en.wikipedia.org/wiki/Elon_Musk;141;456;6;0;603;
https://en.wikipedia.org/wiki/Nikola_Tesla;592;0;0;0;592;
https://en.wikipedia.org/wiki/Criticism_of_Tesla;349;131;12;0;492;
https://en.wikipedia.org/wiki/Tesla_Autopilot;407;65;0;0;472;
https://en.wikipedia.org/wiki/Tesla_Model_3;355;37;4;0;396;
https://en.wikipedia.org/wiki/Tesla_Roadster_(2008);349;20;0;0;369;
https://en.wikipedia.org/wiki/Tesla_Roadster_(first_generation);348;20;0;0;368;
https://en.wikipedia.org/wiki/Gigafactory_1;170;21;84;0;275;
